x	y	headinng	sonar_ang	read	Expected 20	Expected 25	Expected 30	Expected 35	Expected 40	Expected 45	Expected 50	Erro 20	Erro 25	Erro 30	Erro 35	Erro 40	Erro 45	Erro 50	Linhas ruins
59	66	0	67	59	59,0809669495	59	59	59	59	59	59	0,0065556469	0,0065556469	0	0	0	0	0	0,001873042
59	66	0	66	59	59,1440734863	59	59	59	59	59	59	0,0207571695	0,0207571695	0	0	0	0	0	0,0059306198
59	66	0	65	59	59,2253723145	59	59	59	59	59	59	0,0507926801	0,0507926801	0	0	0	0	0	0,0145121943
59	66	0	64	59	59,3249893188	59,0089874268	59	59	59	59	59	0,1056180574	0,0998571958	8,07738397270441E-005	0	0	0	0	0,0293651467
59	66	0	63	59	59,4430809021	59,0359611511	59	59	59	59	59	0,1963206858	0,1657464916	0,0012932044	0	0	0	0	0,051908626
59	66	0	62	60	59,579826355	59,0809669495	59	59	59	59	59	0,176545892	0,2488607065	0,0065556469	0	0	0	0	0,0617088922
59	66	0	61	60	59,7354431152	59,1440734863	59	59	59	59	59	0,0699903453	0,349718038	0,0207571695	0	0	0	0	0,0629236504
59	66	0	60	60	59,9101715088	59,2253723145	59	59	59	59	59	0,0080691578	0,4689499366	0,0507926801	0	0	0	0	0,0754016821
59	66	0	59	60	60,1042861938	59,3249893188	59,0089874268	59	59	59	59	0,0108756102	0,6073036194	0,0998571958	8,07738397270441E-005	0	0	0	0,1025881713
59	66	0	58	60	60,3180923462	59,4430809021	59,0359611511	59	59	59	59	0,1011827407	0,7656450273	0,1657464916	0,0012932044	0	0	0	0,147695352
59	66	0	57	60	60,551940918	59,579826355	59,0809669495	59	59	59	59	0,3046387769	0,9450067236	0,2488607065	0,0065556469	0	0	0	0,2150088363
59	66	0	56	60	60,8062019348	59,7354431152	59,1440734863	59	59	59	59	0,6499615597	1,1465244497	0,349718038	0,0207571695	0	0	0	0,3095658881
59	66	0	55	60	61,0812950134	59,9101715088	59,2253723145	59	59	59	59	1,1691989061	1,3715302631	0,4689499366	0,0507926801	0	0	0	0,4372102551
59	66	0	54	60	61,3776664734	60,1042861938	59,3249893188	59,0089874268	59	59	59	1,8979649119	1,6214973363	0,6073036194	0,0998571958	8,07738397270441E-005	0	0	0,6038148339
59	66	0	53	60	61,69581604	60,3180923462	59,4430809021	59,0359611511	59	59	59	2,8757920417	1,8981225766	0,7656450273	0,1657464916	0,0012932044	0	0	0,8152284774
59	66	0	52	60	62,0362701416	60,551940918	59,579826355	59,0809669495	59	59	59	4,1463960896	2,2032332441	0,9450067236	0,2488607065	0,0065556469	0	0	1,0785789158
59	66	0	51	61	62,3996200562	60,8062019348	59,7354431152	59,1440734863	59	59	59	1,9589363016	2,5389813094	1,1465244497	0,349718038	0,0207571695	0	0	0,8592738955
59	66	0	50	61	62,7864875793	61,0812950134	59,9101715088	59,2253723145	59	59	59	3,1915378712	2,9076816869	1,3715302631	0,4689499366	0,0507926801	0	0	1,1414989197
59	66	0	49	61	63,197555542	61,3776664734	60,1042861938	59,3249893188	59,0089874268	59	59	4,8292503601	3,311996222	1,6214973363	0,6073036194	0,0998571958	8,07738397270441E-005	0	1,4957122154
59	66	0	48	61	63,6335487366	61,69581604	60,3180923462	59,4430809021	59,0359611511	59	59	6,9355789479	3,7548080032	1,8981225766	0,7656450273	0,1657464916	0,0012932044	0	1,9315991787
59	66	0	47	61	64,0952606201	62,0362701416	60,551940918	59,579826355	59,0809669495	59	59	9,5806383064	4,2394417906	2,2032332441	0,9450067236	0,2488607065	0,0065556469	0	2,460533774
59	66	0	46	63	64,5835418701	62,3996200562	60,8062019348	59,7354431152	59,1440734863	59	59	2,5076048544	4,7695144895	2,5389813094	1,1465244497	0,349718038	0,0207571695	0	1,6190143301
59	66	0	45	84	65,0992965698	62,7864875793	61,0812950134	59,9101715088	59,2253723145	59	59	357,2365901555	5,3490854264	2,9076816869	1,3715302631	0,4689499366	0,0507926801	0	52,4835185927
59	66	0	44	84	65,6435165405	63,197555542	61,3776664734	60,1042861938	59,3249893188	59,0089874268	59	336,9604849979	5,9827252064	3,311996222	1,6214973363	0,6073036194	0,0998571958	8,07738397270441E-005	49,7977064788
59	66	0	43	62	66,2172470093	63,6335487366	61,69581604	60,3180923462	59,4430809021	59,0359611511	59	17,7851723373	6,6754967644	3,7548080032	1,8981225766	0,7656450273	0,1657464916	0,0012932044	4,4351834864
59	66	0	42	61	66,8216323853	64,0952606201	62,0362701416	60,551940918	59,579826355	59,0809669495	59	33,891403629	7,4331030017	4,2394417906	2,2032332441	0,9450067236	0,2488607065	0,0065556469	6,9953721061
59	66	0	41	61	67,4578933716	64,5835418701	62,3996200562	60,8062019348	59,7354431152	59,1440734863	59	41,7043867987	8,261896554	4,7695144895	2,5389813094	1,1465244497	0,349718038	0,0207571695	8,3988255441
59	66	0	40	64	68,1273345947	65,0992965698	62,7864875793	61,0812950134	59,9101715088	59,2253723145	59	17,0348908568	9,1690142803	5,3490854264	2,9076816869	1,3715302631	0,4689499366	0,0507926801	5,1931350186
59	66	0	39	84	68,8313674927	65,6435165405	63,197555542	61,3776664734	60,1042861938	59,3249893188	59,0089874268	230,0874121423	10,1623936931	5,9827252064	3,311996222	1,6214973363	0,6073036194	0,0998571958	35,9818836308
